label,group,solver,oracle,seed,budget,episodes_per_entry,iteration,population,exploitability,entropy0,entropy1,value,empirical_value,oracle_seconds,wall_seconds,evaluation_episodes
self_play_s0,self_play,self_play,q_learning,0,5000,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.1295,0.4666163599995343,0.4752472719992511,2000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,2,3,0.8333333333333333,-0.0,-0.0,-0.16666666666666663,-0.21849999999999997,0.49714831699930073,0.5060255820008024,8000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,3,4,0.33333333333333337,-0.0,-0.0,-0.08333333333333331,-0.11599999999999999,0.42157124200093676,0.4343403130005754,18000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,4,5,0.8333333333333333,-0.0,-0.0,0.16666666666666669,0.181,0.408320372000162,0.42150520799987135,32000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,5,6,1.0833333333333333,-0.0,-0.0,0.5,0.4885,0.4296022990001802,0.441881086999274,50000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,6,7,0.6666666666666667,-0.0,-0.0,-0.33333333333333326,-0.308,0.43047396799920534,0.44617703199946845,72000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,7,8,0.33333333333333337,-0.0,-0.0,0.08333333333333334,0.1685,0.3992664159995911,0.41781669900046836,98000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,8,9,0.9166666666666667,-0.0,-0.0,0.0,-0.006999999999999999,0.41222429699882923,0.4309618050010613,128000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,9,10,1.25,-0.0,-0.0,0.75,0.7955,0.4156479000012041,0.43652305900104693,162000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,10,11,0.6666666666666666,-0.0,-0.0,-0.41666666666666674,-0.42350000000000004,0.39039634599976125,0.41342433499994513,200000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,11,12,0.5833333333333334,-0.0,-0.0,0.25,0.2835,0.4400234980003006,0.4659316140005103,242000
self_play_s0,self_play,self_play,q_learning,0,5000,2000,12,13,1.0833333333333335,-0.0,-0.0,-0.33333333333333337,-0.313,0.4392945300005522,0.4669547760004207,288000
