label,group,solver,oracle,seed,budget,episodes_per_entry,iteration,population,exploitability,entropy0,entropy1,value,empirical_value,oracle_seconds,wall_seconds,evaluation_episodes
q500_s0,q_learning_500,nash,q_learning,0,500,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.1295,0.04400616400016588,0.057297948998893844,2000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,2,3,0.7499999999999999,-0.0,-0.0,-0.4166666666666666,-0.35150000000000003,0.054025690000344184,0.0636267139998381,8000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,3,4,0.3569992690058481,0.18505911110383014,0.6884846511016331,0.16470412370472964,0.14324780701754383,0.056738419998509926,0.0723521489999257,18000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,4,5,0.2231867283950618,0.6905145062924745,0.5419844716944643,-0.117213944536529,-0.10079205246913579,0.04807005300062883,0.0635065480000776,32000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,5,6,0.15312498133849287,0.9420826684763755,0.84636234795716,-0.12707339190373526,-0.11751818645980759,0.051113154000631766,0.06767485499949544,50000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,6,7,0.19822585670195153,1.0874171701677708,1.076638903386048,-0.11569845225734722,-0.1310063035716158,0.04079269999965618,0.06951525900149136,72000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,7,8,0.11198267159930142,1.376390750979989,1.1783732890851968,-0.08411831915454748,-0.09359751076148695,0.041895148999174125,0.064283705998605,98000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,8,9,0.12559402579769186,0.6266850990900352,0.6282130394406538,-0.05547720475690744,-0.0605213849287169,0.04970683399915288,0.07116031799887423,128000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,9,10,0.05270363405148572,0.979712856424664,0.663677946969577,-0.05546136874384895,-0.06140484674927601,0.041161167000609566,0.06456486400020367,162000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,10,11,0.052703634051485745,0.9797128564246638,0.663677946969577,-0.055461368743848945,-0.061404846749275994,0.04101934999926016,0.06563746499887202,200000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,11,12,0.05073643238756559,1.2428816232730773,1.2116982592268262,-0.0557803608091458,-0.057297030253069134,0.043212713000684744,0.07118919499953336,242000
q500_s0,q_learning_500,nash,q_learning,0,500,2000,12,13,0.030632793793286775,1.3129865813567132,1.4209658749907195,-0.055060289019514284,-0.055336681611618796,0.04107759800172062,0.07359058699876186,288000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.1465,0.04670802500004356,0.06359152799996082,2000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,2,3,0.33333333333333337,-0.0,-0.0,-5.551115123125783e-17,0.0045000000000000005,0.06383248599922808,0.07635728499917604,8000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,3,4,0.2564977257959714,0.4703870107286754,0.5936148767694077,-0.009832085086009374,-0.00491228070175439,0.05627200299932156,0.07003190999967046,18000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,4,5,0.355512067840835,0.3921857700824317,0.5909460993419949,-0.003385403701732144,-0.013448140900195698,0.043217431999437395,0.05682249699930253,32000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,5,6,0.368995633187773,0.6814214852300952,0.4732424806512553,-0.0752130966228714,-0.11207860262008733,0.043159265000213054,0.059444221000376274,50000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,6,7,0.16666666666666666,0.5202020156036558,0.6198681922399064,-0.04309865921955467,-0.03677852348993288,0.04080696299934061,0.05843315899983281,72000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,7,8,0.09428885378190932,1.3026030303899732,1.2074467047225752,-0.03756494722967954,-0.03953716164735125,0.046789509999143775,0.0700592660014081,98000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,8,9,0.09377265554902994,1.2012756120947974,1.3030524988613106,-0.03716862029907099,-0.03430572707032227,0.04272147700066853,0.06567636700128787,128000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,9,10,0.026118489509125972,0.8637920649677655,1.0972386396001577,-0.05610899269842658,-0.052950495017565144,0.05695201800153882,0.08324628599984862,162000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,10,11,0.026118489509125917,0.8637920649677657,1.0972386396001577,-0.05610899269842657,-0.05295049501756513,0.0459127960002661,0.07426405099977273,200000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,11,12,0.010291093794702152,1.4450034801771647,1.4840825264129132,-0.055602363706824004,-0.05548318788151098,0.04376569299893163,0.07708396900125081,242000
q500_s1,q_learning_500,nash,q_learning,1,500,2000,12,13,0.01029109379470218,1.4450034801771654,1.4840825264129132,-0.055602363706824,-0.05548318788151098,0.0416849329994875,0.07123781999871426,288000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.14650000000000002,0.04396914900098636,0.05946645900075964,2000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,2,3,0.6666666666666667,-0.0,-0.0,-0.3333333333333333,-0.3255,0.041728152998985024,0.053717512000730494,8000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,3,4,0.45872448219341383,0.38313617093997016,0.6837003472599074,0.07147630305850981,0.08140321859633436,0.04052122500070254,0.05361083000025246,18000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,4,5,0.2391188821691187,0.7971593695620063,0.7022108200677533,-0.1019754376792989,-0.10645041762697768,0.04428829900098208,0.059416084999611485,32000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,5,6,0.21876186601573094,1.0287385619372935,0.4229036528058554,-0.03076216060891598,-0.03528345606183889,0.040167010000004666,0.05806588099949295,50000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,6,7,0.1082763970127198,0.6697119758718416,1.0930599138141472,-0.04163890874006945,-0.03557066530863361,0.0412018299994088,0.06030288200054201,72000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,7,8,0.12158287931352099,0.8408435936611605,1.3693092687463584,-0.03868224124521425,-0.0219390533399039,0.04471141199974227,0.06601819800016528,98000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,8,9,0.07960154823266526,1.0552747821478001,1.0691647360718928,-0.04068022275773834,-0.029748996611398626,0.04106412900000578,0.0721295880011894,128000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,9,10,0.07960154823266528,1.0552747821478001,1.0691647360718928,-0.04068022275773834,-0.029748996611398622,0.04272042699994927,0.06486965999829408,162000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,10,11,0.07430292154383668,1.0414711579473543,1.071599401916018,-0.04114902723791858,-0.03159602757045557,0.042417787000886165,0.07274789400071313,200000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,11,12,0.01797213965916962,1.1522534377820757,1.3331751201591298,-0.055252692423387165,-0.05233902420676782,0.0421667320006236,0.07396299300125975,242000
q500_s2,q_learning_500,nash,q_learning,2,500,2000,12,13,0.018193767696443652,1.3726429785513845,1.5442163261545065,-0.055672790735100425,-0.052583330676522516,0.04278781399989384,0.07719276399984665,288000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.0495,0.043532447998586576,0.059015205999457976,2000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,2,3,0.8333333333333333,-0.0,-0.0,-0.16666666666666663,-0.149,0.04668082700118248,0.058240156000465504,8000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,3,4,0.33333333333333337,-0.0,-0.0,-0.1666666666666667,-0.146,0.04241163100050471,0.05578883499947551,18000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,4,5,0.26735159817351606,0.6811893471430758,0.6640194012633498,-0.0236465739524475,-0.028448858447488595,0.0519421830013016,0.06763570399925811,32000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,5,6,0.1796566666666668,0.8793495076709861,1.0120009675336836,-0.08438819720208338,-0.07540407750000001,0.04180119000011473,0.06122069999946689,50000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,6,7,0.17955831405965006,0.9491092356369292,1.0806839952008378,-0.08454854381570938,-0.07537688842472368,0.0419021520010574,0.06419270200058236,72000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,7,8,0.19012007194485658,1.3034295056728853,0.836644661894999,-0.031221560770965252,-0.025321533582767144,0.0420875679992605,0.0639423499997065,98000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,8,9,0.08605018741357831,0.9080467662680709,1.07147611231975,-0.023962008192516017,-0.031405935239466574,0.04047201199864503,0.0688748120010132,128000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,9,10,0.041413754327721465,0.6511937518634129,1.0898985494611404,-0.04437010448807251,-0.04427011732749839,0.03963319600006798,0.06346070099971257,162000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,10,11,0.05457794718228389,1.0859198979118183,1.287196956786421,-0.043626985026346675,-0.04713188940322143,0.040965366000818904,0.06665234100000816,200000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,11,12,0.0630607963973146,1.2071230665062727,1.3622884970101459,-0.04761082984525938,-0.04970274065545608,0.05092075399988971,0.08052257400049712,242000
q500_s3,q_learning_500,nash,q_learning,3,500,2000,12,13,0.0630607963973146,1.2071230665062727,1.3622884970101456,-0.047610829845259384,-0.04970274065545608,0.040719415999774355,0.07949102600105107,288000
q500_s4,q_learning_500,nash,q_learning,4,500,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.17049999999999998,0.042526242999883834,0.057831214000543696,2000
q500_s4,q_learning_500,nash,q_learning,4,500,2000,2,3,0.8333333333333333,-0.0,-0.0,-0.16666666666666663,-0.1885,0.04536794500018004,0.05674332300077367,8000
q500_s4,q_learning_500,nash,q_learning,4,500,2000,3,4,0.37612428454619784,0.6816622353614503,0.08011404889227701,-0.19031689564085477,-0.18553147996729355,0.044582881000678753,0.05865671699939412,18000
q500_s4,q_learning_500,nash,q_learning,4,500,2000,4,5,0.30080738177623995,0.6928193229827524,0.6910746524808689,0.0002746614623866787,-0.00367266435986159,0.04973054800029786,0.06372376000035729,32000
