label,group,solver,oracle,seed,budget,iterations,initial,episodes_per_entry,final_exploitability,final_value,value_error,population,support,entropy,cycles,cyclic_fraction,dominated,diversity_mean,diversity_weighted,effective_policies,population_exploitability,value_upper,value_lower,unique_policies,unique_fraction,effective_diversity,dpp_cardinality,kuhn_alpha,kuhn_beta,kuhn_gamma,kuhn_residual0,kuhn_xi,kuhn_eta,kuhn_residual1,exploitability_rises,largest_rise,total_eval_episodes,total_oracle_episodes,wall_seconds,vs_population_mean,vs_population_worst,vs_population_spread,vs_baselines_mean,vs_baselines_worst,vs_baselines_spread,vs_unseen_mean,vs_unseen_worst,vs_unseen_spread,vs_nash_mean,vs_nash_worst,vs_nash_spread,vs_perturbed_mean,vs_perturbed_worst,vs_perturbed_spread,vs_early_mean,vs_early_worst,vs_early_spread,vs_final_selfplay_mean,vs_final_selfplay_worst,vs_final_selfplay_spread
q500_s0,q_learning_500,nash,q_learning,0,500,12,random,2000,0.034910260671784814,-0.051209917710612,0.004345637844943552,13,5,1.2729226453610472,16,0.055944055944055944,0,0.23607200946770343,0.23132713121601922,3.571274894549844,0.0,-0.05555555555555557,-0.05555555555555557,8,0.6153846153846154,0.04759902310794303,1.9932116019799269,0.1438733678640435,0.45023651014733757,0.45492019793068333,0.042503587275741134,0.3465278457945336,0.36652473987754064,0.046385919005407616,3,0.045100875363458665,338000,12000,0.8043996089945722,-0.025586023058528858,-0.06454561923890197,0.04713580058851526,0.050026278905259736,-0.051060523713882366,0.07149038624435415,0.10207545133023008,0.06206126071143958,0.028738185510429115,-0.05555555555555554,-0.05555555555555554,0.0,-0.011759626130944029,-0.040098168699810297,0.0255033871519496,0.0024282961221074977,-0.06454561923890197,0.0656621984609895,0.030331135091238234,0.030331135091238234,0.0
q500_s1,q_learning_500,nash,q_learning,1,500,12,random,2000,0.010291093794702097,-0.05560236370682399,4.6808151268437626e-05,13,5,1.4450034801771674,27,0.0944055944055944,1,0.21641608138009225,0.2562567994653371,4.241866905243097,-2.0816681711721685e-17,-0.05555555555555558,-0.05555555555555556,9,0.6923076923076923,0.06183651861349549,1.834166303902534,0.22593581331993123,0.5472938525786497,0.7038173992267042,0.029315266919221816,0.33733963077654694,0.33207552651145156,0.005264104265095382,2,0.09901434204486359,338000,12000,0.8262483590006013,-0.020324627411723157,-0.06388231345824558,0.05072782543129443,0.060810428064294424,-0.05355967320978643,0.0813579756487464,0.12464530048816214,0.07451367253631216,0.03867969645133263,-0.05555555555555554,-0.05555555555555554,0.0,-0.003301191702937363,-0.037112838901690294,0.030428930022050413,0.017416667253558824,-0.05355967320978643,0.06763255065641136,0.006407390987749872,0.006407390987749872,0.0
q500_s2,q_learning_500,nash,q_learning,2,500,12,random,2000,0.018193767696443652,-0.055672790735100425,0.00011723517954487228,13,5,1.3726429785513845,29,0.10139860139860139,0,0.23716264232645332,0.22384829057850822,3.9457654999406184,1.3877787807814457e-17,-0.055555555555555566,-0.05555555555555558,9,0.6923076923076923,0.048788638912397236,1.9976308968574106,0.13788108686263273,0.4740598678666024,0.4580685804790633,0.026771432256807032,0.326636336853488,0.31208960495035865,0.02794072486282001,2,0.013306482300801198,338000,12000,0.7715007460028573,-0.024830160726511365,-0.06201129298053765,0.046464045770983176,0.052673318651844714,-0.05602979683399498,0.07697455798408183,0.10484987165931367,0.06466769331116037,0.02988743966484945,-0.055555555555555546,-0.055555555555555546,0.0,-0.010917603063712035,-0.039800984087846075,0.02599371674551275,0.02801489841699746,-0.02250630399165412,0.0489667154863447,-0.04862557685213413,-0.04862557685213413,0.0
q500_s3,q_learning_500,nash,q_learning,3,500,12,random,2000,0.10126651381155113,-0.042020054455268865,0.013535501100286687,13,3,1.0544473875557938,15,0.05244755244755245,0,0.24302167523763715,0.2630927113466795,2.8703885031337064,0.015873015873015886,-0.0396825396825397,-0.05555555555555559,9,0.6923076923076923,0.058660175875905655,1.9232261687044205,0.26462888320998934,0.4771954636787577,0.5228045363212424,0.12076675286456495,0.34110182216858337,0.2597885602121292,0.08131326195645416,4,0.038205717414236534,338000,12000,0.789037107000695,-0.007273662547003869,-0.05063078762562297,0.04580712317391546,0.05302171818652864,-0.03542776341146142,0.06615116223028329,0.12697384914366244,0.07641882081160602,0.040841475612323055,-0.055555555555555546,-0.055555555555555546,0.0,-0.0047842206561795235,-0.037636260885187525,0.02956532780949339,0.012066337678465596,-0.04084182698968585,0.06513445259788293,0.0704957460309324,0.0704957460309324,0.0
q500_s4,q_learning_500,nash,q_learning,4,500,12,random,2000,0.04998401879327487,-0.05733888078639864,0.00178332523084309,13,6,1.4941022818540612,8,0.027972027972027972,0,0.22051577653213286,0.1837192290810983,4.455335121852822,0.0,-0.05555555555555558,-0.05555555555555558,9,0.6923076923076923,0.021396355491306637,1.9527971396693338,0.11817048516190445,0.4091023459236461,0.4091023459236461,0.0787953995302135,0.38683455642558756,0.3154973896686585,0.07133716675692908,3,0.02284248726974511,338000,12000,0.8090594230015995,-0.020803685274850513,-0.07878786148574157,0.0485725346795505,0.045455816213738454,-0.04848864346029029,0.0665325319928811,0.09197454435190289,0.05452823972631176,0.025284413792909875,-0.05555555555555553,-0.05555555555555553,0.0,-0.014915820013552688,-0.041212119481907464,0.023665462130781998,0.04261671221149778,-0.005298299560330975,0.03466643083961253,0.03408809313806786,0.03408809313806786,0.0
q2000_s0,q_learning_2000,nash,q_learning,0,2000,12,random,2000,0.05146117899057247,-0.05808724642478798,0.0025316908692324253,13,4,1.2052213451118758,45,0.15734265734265734,0,0.23362871722205059,0.3065901436734375,3.3374977351249013,1.3877787807814457e-17,-0.05555555555555555,-0.055555555555555566,9,0.6923076923076923,0.05764271201634773,2.0341829631979604,0.25571387175439503,0.5018643249455887,0.6489633590358727,0.0871828801421396,0.40053399016291125,0.3803433451972724,0.11421066869351704,2,0.02701959147808501,338000,48000,3.5916964289972384,-0.01567929733448257,-0.06492013956505001,0.04992878686284094,0.055762702771732085,-0.04102507553186564,0.07077947088997678,0.12468358685841385,0.07532032318879454,0.038594568846351165,-0.05555555555555554,-0.05555555555555554,0.0,-0.004040288859537782,-0.03737369672166691,0.02999853657737806,0.003330190915604464,-0.06072145156975106,0.07236814619551274,0.0521564458204104,0.0521564458204104,0.0
q2000_s1,q_learning_2000,nash,q_learning,1,2000,12,random,2000,0.05671324778773091,-0.045430135563286345,0.010125419992269208,13,6,1.5168674149981862,26,0.09090909090909091,0,0.21038325106692296,0.1944496563725317,4.557924721489899,0.013888888888888916,-0.04166666666666668,-0.055555555555555594,7,0.5384615384615384,0.03408945017398551,1.7269326741025133,0.08307744522069137,0.3480435551432779,0.255264559040541,0.07238870566305806,0.3215971687424596,0.33136626625498594,0.013703231669221105,4,0.025052910481935947,338000,48000,2.299103685998489,-0.022344881759072708,-0.04934100043053134,0.04018199035100503,0.03867150612703087,-0.04416101832043111,0.05895604862397011,0.08080805766445859,0.04347404001629537,0.02241971321317022,-0.05555555555555553,-0.05555555555555553,0.0,-0.019456323130960698,-0.04281464999393383,0.021021421682520233,0.025946300664496238,-0.04416101832043111,0.04311288895836539,0.011714915753012416,0.011714915753012416,0.0
q2000_s2,q_learning_2000,nash,q_learning,2,2000,12,random,2000,0.05905777151174947,-0.0549956402660625,0.0005599152894930556,13,5,1.094419865565308,22,0.07692307692307693,0,0.2176025972512455,0.18797819033381077,2.987449058503511,0.0,-0.05555555555555558,-0.05555555555555558,8,0.6153846153846154,0.006213230105469827,1.9504185364526725,0.04042959793580814,0.31452812480747083,0.02202139019185802,0.05923480646167061,0.3589856258532225,0.33422340223609276,0.026542361422648653,3,0.06875285852545403,338000,48000,2.4044199399959325,-0.028303686704424156,-0.07393904153170235,0.052322697263191095,0.03784820705917324,-0.048198928416803684,0.062151113511710494,0.0817292916478485,0.02374937128769221,0.028979364829497777,-0.05677896612176987,-0.05677896612176987,0.0,-0.022176979438398862,-0.04456650023352128,0.02014954070404325,0.03599864704393992,-0.048198928416803684,0.05188670798499417,0.0489120360991247,0.0489120360991247,0.0
q2000_s3,q_learning_2000,nash,q_learning,3,2000,12,random,2000,0.03650773223777596,-0.054697063416457484,0.0008584921390980688,13,7,1.5187398116070838,14,0.04895104895104895,0,0.24869152813715595,0.21905113928977613,4.56646695901465,1.3877787807814457e-17,-0.05555555555555558,-0.055555555555555594,9,0.6923076923076923,0.05628317307474993,2.063405181811387,0.13017608648888693,0.4109106504996046,0.3591985173944007,0.052598769322615604,0.35094136538701254,0.3253758150234388,0.02556555036357372,1,0.0044447752148656094,338000,48000,2.4547128960020927,-0.024765733873497307,-0.07308847866309412,0.04315665630656506,0.045656738944400525,-0.0467890940017863,0.0653837851192566,0.09644555107255012,0.05672625942383347,0.026939644195000435,-0.05555555555555554,-0.05555555555555554,0.0,-0.014263496679247147,-0.040981887716858456,0.024045325162840317,0.029800513340251415,-0.01776816347219592,0.03938134057536459,0.03915505117090206,0.03915505117090206,0.0
q2000_s4,q_learning_2000,nash,q_learning,4,2000,12,random,2000,0.09546654979088176,-0.04775198532873737,0.007803570226818185,13,5,1.4035511397355376,10,0.03496503496503497,0,0.22579774050591964,0.20306038517858274,4.069626148115035,0.013888888888888888,-0.04166666666666668,-0.055555555555555566,8,0.6153846153846154,0.039164089647222386,1.9422902361779326,0.0763929236198712,0.3533828977368948,0.3509672738785795,0.13753569456228698,0.38921132089520805,0.2894131186912202,0.09979820220398783,2,0.07504508837176119,338000,48000,3.6975426560002234,-0.022442808503835322,-0.06518618431941192,0.03885994186409478,0.03926476641521053,-0.04616499568617062,0.06099624473963139,0.07682304406946358,0.04302338263834442,0.02096537527969219,-0.05555555555555554,-0.05555555555555554,0.0,-0.019519845472967517,-0.04283706964405388,0.020984431147046217,0.030343990551840803,0.0035816629617316242,0.026255521215725542,0.027019295728915566,0.027019295728915566,0.0
